age,vocab
18,5.15
19,5
20,5.040114613180516
21,5.228381374722838
22,5.331797235023042
23,5.573831775700935
24,5.675324675324675
25,5.659539473684211
26,5.764065335753176
27,5.791379310344827
28,5.80577849117175
29,5.764499121265378
30,5.92891760904685
31,6.019607843137255
32,5.9792
33,5.921404682274248
34,6.05475040257649
35,6.03588143525741
36,6.182758620689655
37,6.166936790923825
38,6.224080267558528
39,6.20925925925926
40,6.192109777015437
41,6.221590909090909
42,6.13921568627451
43,6.289330922242315
44,6.2312252964426875
45,6.125523012552302
46,6.165591397849463
47,6.405737704918033
48,6.364444444444445
49,6.163306451612903
50,6.15929203539823
51,6.20353982300885
52,6.239234449760765
53,6.128571428571429
54,6.0603864734299515
55,6.214814814814815
56,6.046913580246914
57,6.31077694235589
58,6.282321899736147
59,6.121693121693122
60,6.29064039408867
61,6.139664804469274
62,5.980769230769231
63,6.149847094801223
64,6.263513513513513
65,6.422839506172839
66,6.437299035369775
67,6.481848184818482
68,5.874617737003058
69,6.069090909090909
70,6.2214285714285715
71,6.042307692307692
72,5.827067669172933
73,5.844897959183673
74,6.046413502109704
75,5.932038834951456
76,5.536945812807882
77,5.552238805970149
78,5.824858757062147
79,5.66887417218543
80,5.696551724137931
81,6.16546762589928
82,5.696428571428571
83,6.381818181818182
84,5.3764705882352946
85,5.833333333333333
86,5.329113924050633
87,5.796875
88,5.849056603773585
89,5.430656934306569
